fish,weigth,len,hgt,wdt,eye,head,stdlen,forklen,sidelen,cont1,cont2,area1,area2,sidehgt,toplen,topwdt,eyedst,area3,area4
136,176.01,24.70,4.90,3.40,1.16,6.51,21.54,23.49,24.60,55.55,57.89,85.01,93.96,5.63,28.12,3.83,2.35,60.04,65.65
137,141.49,22.80,4.70,3.20,1.13,5.53,19.02,20.98,22.16,49.24,50.01,66.69,75.23,5.07,22.43,3.11,1.99,42.30,45.43
138,140.77,23.40,4.60,3.10,1.17,6.02,20.24,22.33,23.35,52.26,53.83,74.69,83.13,5.24,24.54,3.07,1.98,47.56,49.76
139,188.12,24.80,5.30,3.40,1.15,6.46,22.53,24.51,25.41,56.63,57.80,93.62,102.39,6.01,25.85,3.51,2.23,56.99,59.10
140,167.31,24.50,5.10,3.30,1.03,6.10,21.47,23.87,24.76,54.32,55.71,84.49,91.33,5.59,25.54,3.34,2.11,52.93,55.60
141,125.43,23.40,4.30,2.90,1.23,6.12,20.88,22.69,23.82,52.43,53.87,73.86,82.55,5.15,23.44,2.92,1.98,42.51,44.08
142,143.32,24.00,4.50,3.10,1.17,5.68,20.09,22.11,23.27,51.49,52.42,71.34,78.80,5.10,24.63,3.19,1.91,48.23,51.14
143,202.94,25.50,5.50,3.80,1.13,6.42,22.70,24.81,26.04,57.95,59.19,96.43,105.63,6.13,26.31,3.93,2.24,58.47,62.17
144,145.83,23.40,4.70,3.10,1.08,5.99,19.57,21.77,22.66,50.00,51.49,70.79,77.28,5.12,23.05,3.04,2.01,43.33,45.19
145,191.33,25.50,5.20,3.50,1.26,6.19,21.44,23.54,24.71,55.26,56.76,84.18,93.66,5.71,25.24,3.37,2.16,52.25,54.71
146,199.54,26.50,5.40,3.50,1.28,6.81,22.96,25.49,26.62,61.11,62.84,99.90,112.32,6.09,27.26,3.59,2.11,57.74,59.98
147,158.22,24.50,4.80,3.00,1.18,5.95,20.85,23.17,24.15,55.13,57.16,80.55,92.26,5.24,27.64,3.36,2.07,55.90,66.69
